Symbol	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Other_designations	Modification_date
ACADM	ACAD1|MCAD|MCADH	MIM:607008|HGNC:HGNC:89|Ensembl:ENSG00000117054	1	1p31.1	acyl-CoA dehydrogenase medium chain	protein-coding	ACADM	acyl-CoA dehydrogenase medium chain	"medium-chain specific acyl-CoA dehydrogenase, mitochondrial|acyl-CoA dehydrogenase, C-4 to C-12 straight chain|acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain|medium-chain acyl-CoA dehydrogenase|testicular tissue protein Li 7"	20210302
ACADS	ACAD3|SCAD	MIM:606885|HGNC:HGNC:90|Ensembl:ENSG00000122971	12	12q24.31	acyl-CoA dehydrogenase short chain	protein-coding	ACADS	acyl-CoA dehydrogenase short chain	"short-chain specific acyl-CoA dehydrogenase, mitochondrial|acyl-CoA dehydrogenase, C-2 to C-3 short chain|acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain|butyryl-CoA dehydrogenase|epididymis secretory sperm binding protein|mitochondrial short-chain specific acyl-CoA dehydrogenase|unsaturated acyl-CoA reductase"	20210302
ACADSB	2-MEBCAD|ACAD7|SBCAD	MIM:600301|HGNC:HGNC:91|Ensembl:ENSG00000196177	10	10q26.13	acyl-CoA dehydrogenase short/branched chain	protein-coding	ACADSB	acyl-CoA dehydrogenase short/branched chain	"short/branched chain specific acyl-CoA dehydrogenase, mitochondrial|2-methyl branched chain acyl-CoA dehydrogenase|2-methylbutyryl-coenzyme A dehydrogenase|acyl-Coenzyme A dehydrogenase, short/branched chain"	20210302
ACADVL	ACAD6|LCACD|VLCAD	MIM:609575|HGNC:HGNC:92|Ensembl:ENSG00000072778	17	17p13.1	acyl-CoA dehydrogenase very long chain	protein-coding	ACADVL	acyl-CoA dehydrogenase very long chain	"very long-chain specific acyl-CoA dehydrogenase, mitochondrial|acyl-Coenzyme A dehydrogenase, very long chain"	20210302
ACAT1	ACAT|MAT|T2|THIL	MIM:607809|HGNC:HGNC:93|Ensembl:ENSG00000075239	11	11q22.3	acetyl-CoA acetyltransferase 1	protein-coding	ACAT1	acetyl-CoA acetyltransferase 1	"acetyl-CoA acetyltransferase, mitochondrial|acetoacetyl Coenzyme A thiolase|acetoacetyl-CoA thiolase|acetyl-Coenzyme A acetyltransferase 1|mitochondrial acetoacetyl-CoA thiolase|testicular tissue protein Li 198"	20210307
ACAT2	-	MIM:100678|HGNC:HGNC:94|Ensembl:ENSG00000120437	6	6q25.3	acetyl-CoA acetyltransferase 2	protein-coding	ACAT2	acetyl-CoA acetyltransferase 2	"acetyl-CoA acetyltransferase, cytosolic|acetoacetyl Coenzyme A thiolase|acetyl-CoA transferase-like protein|cytosolic acetoacetyl-CoA thiolase"	20210302
ASIC2	ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1	MIM:601784|HGNC:HGNC:99|Ensembl:ENSG00000108684	17	17q11.2-q12	acid sensing ion channel subunit 2	protein-coding	ASIC2	acid sensing ion channel subunit 2	"acid-sensing ion channel 2|acid sensing (proton gated) ion channel 2|amiloride-sensitive cation channel 1, neuronal|brain sodium channel 1|mammalian degenerin homolog|neuronal amiloride-sensitive cation channel 1"	20210302
ASIC1	ACCN2|ASIC|BNaC2	MIM:602866|HGNC:HGNC:100|Ensembl:ENSG00000110881	12	12q13.12	acid sensing ion channel subunit 1	protein-coding	ASIC1	acid sensing ion channel subunit 1	"acid-sensing ion channel 1|Cation channel, amiloride-sensitive, neuronal, 2|acid sensing (proton gated) ion channel 1|acid-sensing ion channel 1a protein|amiloride-sensitive cation channel 2, neuronal|brain sodium channel 2"	20210302
ACHE	ACEE|ARACHE|N-ACHE|YT	MIM:100740|HGNC:HGNC:108|Ensembl:ENSG00000087085	7	7q22.1	acetylcholinesterase (Cartwright blood group)	protein-coding	ACHE	acetylcholinesterase (Cartwright blood group)	acetylcholinesterase|Yt blood group|acetylcholinesterase (Yt blood group)|apoptosis-related acetylcholinesterase	20210302
ACLS	-	MIM:200990	12	12p13.3-p11.2	acrocallosal syndrome	unknown	-	-	-	20191002
ACLY	ACL|ATPCL|CLATP	MIM:108728|HGNC:HGNC:115|Ensembl:ENSG00000131473	17	17q21.2	ATP citrate lyase	protein-coding	ACLY	ATP citrate lyase	ATP-citrate synthase|ATP-citrate (pro-S-)-lyase|citrate cleavage enzyme	20210307
ACO1	ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1	MIM:100880|HGNC:HGNC:117|Ensembl:ENSG00000122729	9	9p21.1	aconitase 1	protein-coding	ACO1	aconitase 1	"cytoplasmic aconitate hydratase|aconitase 1, soluble|aconitate hydratase, cytoplasmic|citrate hydro-lyase|cytoplasmic aconitase|cytosplasmic aconitase|epididymis luminal protein 60|epididymis secretory sperm binding protein|ferritin repressor protein|iron regulatory protein 1|iron-responsive element-binding protein 1|soluble aconitase"	20210302
ACR	-	MIM:102480|HGNC:HGNC:126|Ensembl:ENSG00000100312	22	22q13.33	acrosin	protein-coding	ACR	acrosin	acrosin|acrosin light and heavy chain prepropeptide|preproacrosin|proacrosin	20210302
ACO2	ACONM|HEL-S-284|ICRD|OCA8|OPA9	MIM:100850|HGNC:HGNC:118|Ensembl:ENSG00000100412	22	22q13.2	aconitase 2	protein-coding	ACO2	aconitase 2	"aconitate hydratase, mitochondrial|aconitase 2, mitochondrial|citrate hydro-lyase|epididymis secretory sperm binding protein Li 284|mitochondrial aconitase"	20210302
ACOX1	ACOX|MITCH|PALMCOX|SCOX	MIM:609751|HGNC:HGNC:119|Ensembl:ENSG00000161533	17	17q25.1	acyl-CoA oxidase 1	protein-coding	ACOX1	acyl-CoA oxidase 1	"peroxisomal acyl-coenzyme A oxidase 1|AOX|acyl-CoA oxidase 1, palmitoyl|acyl-CoA oxidase, straight-chain|acyl-Coenzyme A oxidase 1, palmitoyl|palmitoyl-CoA oxidase|peroxisomal fatty acyl-CoA oxidase|straight-chain acyl-CoA oxidase"	20210302
ACP1	HAAP|LMW-PTP|LMWPTP	MIM:171500|HGNC:HGNC:122|Ensembl:ENSG00000143727	2	2p25.3	acid phosphatase 1	protein-coding	ACP1	acid phosphatase 1	"low molecular weight phosphotyrosine protein phosphatase|LMW-PTPase|acid phosphatase 1, soluble|acid phosphatase of erythrocyte|adipocyte acid phosphatase|cytoplasmic phosphotyrosyl protein phosphatase|low molecular weight cytosolic acid phosphatase|protein tyrosine phosphatase|red cell acid phosphatase 1|testicular secretory protein Li 37"	20210307
ACP2	LAP	MIM:171650|HGNC:HGNC:123|Ensembl:ENSG00000134575	11	11p11.2|11p12-p11	"acid phosphatase 2, lysosomal"	protein-coding	ACP2	"acid phosphatase 2, lysosomal"	lysosomal acid phosphatase	20210302
ACP5	HPAP|TRACP5a|TRACP5b|TRAP|TrATPase	MIM:171640|HGNC:HGNC:124|Ensembl:ENSG00000102575	19	19p13.2	"acid phosphatase 5, tartrate resistant"	protein-coding	ACP5	"acid phosphatase 5, tartrate resistant"	tartrate-resistant acid phosphatase type 5|human purple acid phosphatase|tartrate-resistant acid ATPase|tartrate-resistant acid phosphatase 5a|tartrate-resistant acid phosphatase 5b	20210302
ACP3	5'-NT|ACP-3|ACPP|TM-PAP	MIM:171790|HGNC:HGNC:125|Ensembl:ENSG00000014257	3	3q22.1	acid phosphatase 3	protein-coding	ACP3	acid phosphatase 3	"prostatic acid phosphatase|TMPase|acid phosphatase, prostate|ecto-5'-nucleotidase|prostatic acid phosphotase|protein tyrosine phosphatase ACP3|thiamine monophosphatase"	20210302
ACRV1	D11S4365|SP-10|SPACA2	MIM:102525|HGNC:HGNC:127|Ensembl:ENSG00000134940	11	11q24.2	acrosomal vesicle protein 1	protein-coding	ACRV1	acrosomal vesicle protein 1	acrosomal protein SP-10|sperm protein 10	20210302
ACTA1	ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3|SHPM	MIM:102610|HGNC:HGNC:129|Ensembl:ENSG00000143632	1	1q42.13	"actin alpha 1, skeletal muscle"	protein-coding	ACTA1	"actin alpha 1, skeletal muscle"	"actin, alpha skeletal muscle|nemaline myopathy type 3"	20210307
ACTA2	ACTSA	MIM:102620|HGNC:HGNC:130|Ensembl:ENSG00000107796	10	10q23.31	"actin alpha 2, smooth muscle"	protein-coding	ACTA2	"actin alpha 2, smooth muscle"	"actin, aortic smooth muscle|actin, alpha 2, smooth muscle, aorta|alpha-cardiac actin|cell growth-inhibiting gene 46 protein"	20210307
ACTB	BRWS1|PS1TP5BP1	MIM:102630|HGNC:HGNC:132|Ensembl:ENSG00000075624	7	7p22.1	actin beta	protein-coding	ACTB	actin beta	"actin, cytoplasmic 1|I(2)-actin|PS1TP5-binding protein 1|beta cytoskeletal actin"	20210307
ACTBP2	-	HGNC:HGNC:135	5	5q14.1	ACTB pseudogene 2	pseudo	ACTBP2	ACTB pseudogene 2	"actin, beta pseudogene 2"	20210302
ACTBP3	-	HGNC:HGNC:136	18	18q21.32	ACTB pseudogene 3	pseudo	ACTBP3	ACTB pseudogene 3	"actin, beta pseudogene 3"	20210302
ACTBP4	-	HGNC:HGNC:137	5	5q31.1	ACTB pseudogene 4	pseudo	ACTBP4	ACTB pseudogene 4	"actin, beta pseudogene 4"	20210302
ACTBP6	H8-PSI-BETA-AC3	HGNC:HGNC:139	8	8q21.2	ACTB pseudogene 6	pseudo	ACTBP6	ACTB pseudogene 6	"actin, beta pseudogene 6|actin, gamma 1 pseudogene"	20210302
ACTBP7	-	HGNC:HGNC:140	15	15q15.3	ACTB pseudogene 7	pseudo	ACTBP7	ACTB pseudogene 7	"actin, beta pseudogene 7"	20210302
ACTBP8	ACTBP2	HGNC:HGNC:141	6	6q15	ACTB pseudogene 8	pseudo	ACTBP8	ACTB pseudogene 8	"actin, beta pseudogene 8"	20210302
ACTBP9	-	HGNC:HGNC:142	18	18q21.33	ACTB pseudogene 9	pseudo	ACTBP9	ACTB pseudogene 9	"actin, beta pseudogene 9"	20210302
ACTC1	ACTC|ASD5|CMD1R|CMH11|LVNC4	MIM:102540|HGNC:HGNC:143|Ensembl:ENSG00000159251	15	15q14	actin alpha cardiac muscle 1	protein-coding	ACTC1	actin alpha cardiac muscle 1	"actin, alpha cardiac muscle 1"	20210302
ACTG1	ACT|ACTG|DFNA20|DFNA26|HEL-176	MIM:102560|HGNC:HGNC:144|Ensembl:ENSG00000184009	17	17q25.3	actin gamma 1	protein-coding	ACTG1	actin gamma 1	"actin, cytoplasmic 2|cytoskeletal gamma-actin|epididymis luminal protein 176"	20210307
ACTG2	ACT|ACTA3|ACTE|ACTL3|ACTSG|VSCM	MIM:102545|HGNC:HGNC:145|Ensembl:ENSG00000163017	2	2p13.1	"actin gamma 2, smooth muscle"	protein-coding	ACTG2	"actin gamma 2, smooth muscle"	"actin, gamma-enteric smooth muscle|actin, gamma 2, smooth muscle, enteric|actin-like protein|alpha-actin-3"	20210302
ACTG1P1	ACT1GP1|ACTGP1|HY-psi-gamma-AC6	HGNC:HGNC:146	3	3q23	actin gamma 1 pseudogene 1	pseudo	ACTG1P1	actin gamma 1 pseudogene 1	"actin, gamma pseudogene 1"	20210302
ACTG1P2	ACTGP2|ACTL2	HGNC:HGNC:147	Y	Yq11.222	actin gamma 1 pseudogene 2	pseudo	ACTG1P2	actin gamma 1 pseudogene 2	-	20210302
ACTG1P3	ACTGP3|dJ545L17.4	HGNC:HGNC:148	20	20p13	actin gamma 1 pseudogene 3	pseudo	ACTG1P3	actin gamma 1 pseudogene 3	"actin, gamma pseudogene 3"	20210302
ACTG1P6	ACTGP6	HGNC:HGNC:151	1	1p21	actin gamma 1 pseudogene 6	pseudo	ACTG1P6	actin gamma 1 pseudogene 6	"actin, gamma pseudogene 6"	20190324
ACTG1P7	ACTGP7	HGNC:HGNC:152	1	1p21	actin gamma 1 pseudogene 7	pseudo	ACTG1P7	actin gamma 1 pseudogene 7	"actin, gamma pseudogene 7"	20190324
ACTG1P8	ACTGP8	HGNC:HGNC:153	1	1p21	actin gamma 1 pseudogene 8	pseudo	ACTG1P8	actin gamma 1 pseudogene 8	"actin, gamma pseudogene 8"	20190324
ACTN4	ACTININ-4|FSGS|FSGS1	MIM:604638|HGNC:HGNC:166|Ensembl:ENSG00000130402	19	19q13.2	actinin alpha 4	protein-coding	ACTN4	actinin alpha 4	alpha-actinin-4|focal segmental glomerulosclerosis 1|non-muscle alpha-actinin 4	20210307
ACTG1P9	ACTGP9	HGNC:HGNC:154	6	6p12.3	actin gamma 1 pseudogene 9	pseudo	ACTG1P9	actin gamma 1 pseudogene 9	"actin, gamma pseudogene 9"	20210302
ACTG1P10	ACTGP10|ACTL1|ACTP1	HGNC:HGNC:155	X	Xp11.22	actin gamma 1 pseudogene 10	pseudo	ACTG1P10	actin gamma 1 pseudogene 10	"actin, gamma pseudogene 10|actin-like 1|actin-like sequence-1"	20210302
ACTL6A	ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K	MIM:604958|HGNC:HGNC:24124|Ensembl:ENSG00000136518	3	3q26.33	actin like 6A	protein-coding	ACTL6A	actin like 6A	actin-like protein 6A|53 kDa BRG1-associated factor A|BAF complex 53 kDa subunit|BAF53|BRG1-associated factor 53A|INO80 complex subunit K|actin-related protein 4|actin-related protein Baf53a|arpNbeta|hArpN beta	20210302
ACTN1	BDPLT15	MIM:102575|HGNC:HGNC:163|Ensembl:ENSG00000072110	14	14q24.1|14q22-q24	actinin alpha 1	protein-coding	ACTN1	actinin alpha 1	alpha-actinin-1|F-actin cross-linking protein|actinin 1 smooth muscle|epididymis secretory sperm binding protein|non-muscle alpha-actinin-1	20210302
ACTN2	CMD1AA|CMH23|MPD6|MYOCOZ	MIM:102573|HGNC:HGNC:164|Ensembl:ENSG00000077522	1	1q43	actinin alpha 2	protein-coding	ACTN2	actinin alpha 2	alpha-actinin-2|F-actin cross-linking protein|alpha-actinin skeletal muscle|truncated actinin alpha 2	20210302
ACTN3	ACTN3D	MIM:102574|HGNC:HGNC:165|Ensembl:ENSG00000248746	11	11q13.2	actinin alpha 3	protein-coding	ACTN3	actinin alpha 3	alpha-actinin-3|F-actin cross-linking protein|alpha-actinin skeletal muscle	20210302
ACVR1	ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI	MIM:102576|HGNC:HGNC:171|Ensembl:ENSG00000115170	2	2q24.1	activin A receptor type 1	protein-coding	ACVR1	activin A receptor type 1	"activin receptor type-1|TGF-B superfamily receptor type I|activin A receptor, type I|activin A receptor, type II-like kinase 2|activin receptor type I|activin receptor-like kinase 2|hydroxyalkyl-protein kinase|serine/threonine-protein kinase receptor R1"	20210302
ACVR1B	ACTRIB|ACVRLK4|ALK4|SKR2	MIM:601300|HGNC:HGNC:172|Ensembl:ENSG00000135503	12	12q13.13	activin A receptor type 1B	protein-coding	ACVR1B	activin A receptor type 1B	"activin receptor type-1B|activin A receptor, type IB|activin A receptor, type II-like kinase 4|activin receptor-like kinase 4|serine/threonine-protein kinase receptor R2"	20210302
ACVR2A	ACTRII|ACVR2	MIM:102581|HGNC:HGNC:173|Ensembl:ENSG00000121989	2	2q22.3-q23.1	activin A receptor type 2A	protein-coding	ACVR2A	activin A receptor type 2A	"activin receptor type-2A|activin A receptor, type IIA"	20210302
ACVR2B	ACTRIIB|ActR-IIB|HTX4	MIM:602730|HGNC:HGNC:174|Ensembl:ENSG00000114739	3	3p22.2	activin A receptor type 2B	protein-coding	ACVR2B	activin A receptor type 2B	"activin receptor type-2B|activin A receptor, type IIB"	20210302
ACVRL1	ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I	MIM:601284|HGNC:HGNC:175|Ensembl:ENSG00000139567	12	12q13.13	activin A receptor like type 1	protein-coding	ACVRL1	activin A receptor like type 1	"serine/threonine-protein kinase receptor R3|TGF-B superfamily receptor type I|activin A receptor type II-like 1|activin A receptor type IL|activin A receptor, type II-like kinase 1"	20210302
ACY1	ACY-1|ACY1D|HEL-S-5	MIM:104620|HGNC:HGNC:177|Ensembl:ENSG00000243989	3	3p21.2	aminoacylase 1	protein-coding	ACY1	aminoacylase 1	aminoacylase-1|N-acyl-L-amino-acid amidohydrolase|acylase|epididymis secretory protein Li 5	20210302
ACYP1	ACYPE	MIM:600875|HGNC:HGNC:179|Ensembl:ENSG00000119640	14	14q24.3	acylphosphatase 1	protein-coding	ACYP1	acylphosphatase 1	"acylphosphatase-1|acylphosphatase 1, erythrocyte (common) type|acylphosphatase, erythrocyte isozyme|acylphosphatase, organ-common type isozyme|acylphosphate phosphohydrolase 1"	20210302
